Date,Low,High,Open,Close,VolumeFrom
2019-10-10T07:00:00Z,7820.1,7842.11,7842.11,7826.12,19.03051367
2019-10-10T06:00:00Z,7800.53,7850.0,7806.76,7842.12,47.4095027
2019-10-10T05:00:00Z,7801.23,7838.6,7828.39,7817.06,27.35574498
2019-10-10T04:00:00Z,7801.86,7842.79,7807.53,7834.2,14.02183859
2019-10-10T03:00:00Z,7794.2,7829.85,7801.56,7812.28,8.63065078
2019-10-10T02:00:00Z,7780.0,7801.56,7800.01,7801.56,2.00683842
2019-10-10T01:00:00Z,7800.01,7828.65,7821.64,7801.05,4.98167951
2019-10-10T00:00:00Z,7820.34,7850.0,7831.0,7830.13,11.54533356
2019-10-09T23:00:00Z,7818.01,7849.91,7818.01,7833.99,15.08018106
2019-10-09T22:00:00Z,7801.62,7889.4,7801.63,7822.64,52.17489282
2019-10-09T21:00:00Z,7786.07,7855.49,7850.0,7803.0,39.69622876
2019-10-09T20:00:00Z,7846.0,7880.53,7862.86,7850.0,58.26732907
2019-10-09T19:00:00Z,7828.57,7866.74,7861.22,7858.51,85.68155288
2019-10-09T18:00:00Z,7850.79,7920.0,7889.0,7860.29,88.81590478
2019-10-09T17:00:00Z,7821.17,7889.0,7845.67,7887.34,119.68196962
2019-10-09T16:00:00Z,7768.33,7900.08,7813.0,7845.68,199.14985425
2019-10-09T15:00:00Z,7696.79,7920.0,7700.75,7815.0,345.25716173
2019-10-09T14:00:00Z,7506.42,7719.05,7506.43,7695.16,331.81153338
2019-10-09T13:00:00Z,7453.0,7506.43,7453.0,7506.43,48.46609583
2019-10-09T12:00:00Z,7453.0,7477.92,7473.34,7458.45,35.53202006
2019-10-09T11:00:00Z,7455.38,7495.39,7495.39,7477.76,28.98241015
2019-10-09T10:00:00Z,7465.59,7500.0,7465.68,7495.39,53.71472768
2019-10-09T09:00:00Z,7452.32,7489.0,7463.04,7466.53,53.01280963
2019-10-09T08:00:00Z,7435.32,7472.41,7461.59,7467.56,39.5052875
2019-10-09T07:00:00Z,7441.6,7471.09,7442.89,7461.81,21.37426638
2019-10-09T06:00:00Z,7433.05,7460.89,7437.07,7454.23,39.71423107
2019-10-09T05:00:00Z,7414.3,7450.0,7422.79,7444.43,11.26751768
2019-10-09T04:00:00Z,7414.01,7437.14,7418.0,7427.44,6.20388119
2019-10-09T03:00:00Z,7420.12,7450.0,7444.59,7422.02,2.17517968
2019-10-09T02:00:00Z,7426.25,7466.02,7466.02,7449.97,2.01902348
2019-10-09T01:00:00Z,7459.18,7478.02,7470.23,7466.02,4.57370004
2019-10-09T00:00:00Z,7441.2,7492.5,7470.3,7469.67,9.3817779
2019-10-08T23:00:00Z,7462.31,7499.99,7491.72,7479.97,9.44244319
2019-10-08T22:00:00Z,7453.7,7500.0,7453.85,7486.89,24.69029163
2019-10-08T21:00:00Z,7417.21,7461.14,7425.39,7459.95,19.89325545
2019-10-08T20:00:00Z,7391.01,7487.19,7472.99,7425.39,55.19998835
2019-10-08T19:00:00Z,7462.96,7504.62,7491.37,7473.0,28.54091898
2019-10-08T18:00:00Z,7476.0,7499.99,7482.0,7491.38,21.75253499
2019-10-08T17:00:00Z,7457.59,7493.32,7470.5,7484.39,43.30204399
2019-10-08T16:00:00Z,7458.86,7499.97,7495.0,7475.22,32.5988967
2019-10-08T15:00:00Z,7488.52,7519.96,7491.51,7495.0,51.18617123
2019-10-08T14:00:00Z,7458.66,7497.26,7488.94,7487.07,31.32481184
2019-10-08T13:00:00Z,7484.87,7520.0,7497.32,7488.94,75.8721028
2019-10-08T12:00:00Z,7414.83,7499.99,7458.58,7499.99,37.83784488
2019-10-08T11:00:00Z,7432.09,7485.19,7440.25,7462.4,45.6884188
2019-10-08T10:00:00Z,7433.1,7489.99,7450.01,7439.8,48.01430836
2019-10-08T09:00:00Z,7421.74,7455.18,7439.96,7454.99,42.47962502
2019-10-08T08:00:00Z,7423.33,7499.93,7490.97,7441.19,128.31853866
2019-10-08T07:00:00Z,7490.0,7520.96,7517.52,7497.79,37.94104733
2019-10-08T06:00:00Z,7514.46,7542.04,7526.01,7522.14,26.31003203
2019-10-08T05:00:00Z,7500.01,7542.51,7515.75,7534.26,12.41952938
2019-10-08T04:00:00Z,7515.0,7576.99,7555.22,7515.65,13.12835821
2019-10-08T03:00:00Z,7539.8,7559.07,7551.53,7556.68,7.45826841
2019-10-08T02:00:00Z,7555.9,7599.0,7565.0,7555.9,10.24585637
2019-10-08T01:00:00Z,7514.36,7565.0,7515.0,7565.0,13.75752568
2019-10-08T00:00:00Z,7493.3,7516.38,7493.3,7512.39,6.89720448
2019-10-07T23:00:00Z,7488.8,7534.99,7523.88,7489.45,24.02524272
2019-10-07T22:00:00Z,7482.35,7523.86,7482.52,7519.12,31.81261841
2019-10-07T21:00:00Z,7475.01,7506.01,7484.99,7486.98,32.07765287
2019-10-07T20:00:00Z,7479.72,7525.12,7506.78,7485.0,60.80777091
2019-10-07T19:00:00Z,7500.0,7527.74,7518.67,7508.98,66.59710521
2019-10-07T18:00:00Z,7500.63,7570.0,7554.5,7518.68,56.42209474
2019-10-07T17:00:00Z,7500.1,7555.0,7513.98,7554.5,104.82260463
2019-10-07T16:00:00Z,7440.0,7519.0,7467.43,7519.0,74.98612039
2019-10-07T15:00:00Z,7434.03,7500.0,7436.08,7480.0,103.18418884
2019-10-07T14:00:00Z,7404.44,7452.44,7440.02,7438.6,53.05572376
2019-10-07T13:00:00Z,7401.0,7489.0,7403.0,7441.05,130.03622233
2019-10-07T12:00:00Z,7279.76,7430.0,7279.76,7401.0,80.27836016
2019-10-07T11:00:00Z,7277.08,7337.69,7307.0,7279.75,96.04635646
2019-10-07T10:00:00Z,7245.66,7349.0,7247.34,7310.62,147.5484932
2019-10-07T09:00:00Z,7201.0,7259.72,7207.31,7246.34,39.47386578
2019-10-07T08:00:00Z,7180.77,7255.36,7181.34,7212.0,45.97296386
2019-10-07T07:00:00Z,7139.95,7199.58,7147.74,7181.34,61.45202869
2019-10-07T06:00:00Z,7122.01,7170.19,7159.64,7147.66,35.61321668
2019-10-07T05:00:00Z,7129.13,7161.59,7156.03,7159.08,27.2088096
2019-10-07T04:00:00Z,7156.03,7201.59,7175.44,7161.6,35.82442934
2019-10-07T03:00:00Z,7134.22,7209.91,7134.22,7172.62,15.65323791
2019-10-07T02:00:00Z,7118.01,7155.22,7133.51,7139.69,3.19202834
2019-10-07T01:00:00Z,7109.55,7140.0,7131.35,7131.59,5.46814554
2019-10-07T00:00:00Z,7100.0,7171.6,7168.28,7131.35,73.63428545
2019-10-06T23:00:00Z,7130.0,7181.79,7167.51,7168.28,28.81714526
2019-10-06T22:00:00Z,7162.6,7226.67,7224.53,7168.58,37.65414049
2019-10-06T21:00:00Z,7186.68,7230.18,7220.62,7224.51,29.55951261
2019-10-06T20:00:00Z,7198.5,7241.06,7216.18,7224.5,46.39829572
2019-10-06T19:00:00Z,7151.59,7230.0,7172.82,7218.23,66.27625596
2019-10-06T18:00:00Z,7117.0,7303.37,7294.34,7172.84,137.16932223
2019-10-06T17:00:00Z,7294.34,7330.97,7306.71,7294.34,24.34210949
2019-10-06T16:00:00Z,7284.75,7336.77,7317.86,7307.71,19.24704061
2019-10-06T15:00:00Z,7226.8,7362.41,7231.99,7324.96,64.19545623
